Title,Ingredients,Steps,Ingredients Cleaned
Sapi Lada Hitam,"400 gram irisan daging sapi--3 sdt lada hitam bubuk--1 buah jagung, di sisir--15 buncis potong 4 - 5--2 buah cabe hijau besar, iris serong--2 buah tomat hijau, belah 6 bagian--1 buah bawang bombay, iris besar--3 sdm kecap manis--2 sdm saus tiram--2 Daun salam--secukupnya gula merah--secukupnya garam--secukupnya gula--secukupnya minyak--160 ml air--Bumbu Halus:--4 siung bawang merah--3 siung bawang putih--1 ruas jahe, kupas dan bakar--","1) Tumis bumbu halus hingga wangi (api sedang)
2) Masukan irisan daging (perbesar api, sambil di aduk 2-3 menit)
3) Masukan kecap manis, saus tiram, gula merah, garam, gula, lada hitam, jahe, daun salam, air, cabe hijau (kecilkan api)
4) Masukan bawang bombay, aduk
5) Masukan buncis, jagung dan tomat hijau (perbesar api, aduk dan tutup wajan selama 2 - 3 menit agar air menyusut)
6) Tes rasa, kalau ingin agak pedas bisa tambahkan 1 sdm abon cabe ......nnyyuuummmm","irisan daging sapi , lada , jagung , sisir , buncis potong , cabe hijau , serong , tomat hijau , belah , bawang bombai , kecap manis , saus tiram , daun salam , gula merah , garam , gula , minyak , air , bumbu halus , bawang merah , bawang putih , jahe , kupas bakar"
Asem-Asem Iga Sapi #ketopad,1/2 kg iga sapi--1.5 lt air--2 Lembar daun salam--2 lembar daun jeruk--3 sdm kecap tropicanaslim--Secukupnya himsalt--Secukupnya penyedap--1 batang serai geprek--3 sdm air asem jawa--Bumbu lainnya :--15 bh cabe hijau(patah2 kan)--5 bh cabe merah besar(patah2kan)--7 bh cabe rawit merah dan hijau--6 bh belimbing wuluh(potong jadi 3 bagian)--1 bh tomat hijau besar(potong jadi 8 bagian)--Bumbu ulek :--3 siung bawang putih--6 siung bawang merah--,"1) Presto iga sapi sekitar 15-20 mnt.. matikan api..
2) Setelah itu buka tutup prestonya.. nyalakan api.. masukkan daun salam,daun jeruk dan serai
3) Tumis bumbu ulek sampai harum
4) Masukkan tumisan bumbu ke dalam rebusan iga lalu aduk rata
5) Bumbui dengan kecap tropicanaslim,himsalt,dan penyedap lalu aduk rata..
6) Tambahkan potongan tomat, belimbing wuluh dan air asem jawa..koreksi rasa..
7) Terakhir masukkan cabe hijau,cabe merah dan duo rawit.. masak sebentar sajah
8) Matikan kompor
9) Siap di santap selagi panas
10) Selamat mencoba
11) untuk fase induksi skip tomat dan belimbing wuluhnya ya","iga sapi , lt air , daun salam , daun jeruk , kecap tropicanaslim , himsalt , penyedap , serai geprek , asam jawa , bumbu , cabe hijau patah , cabe merah patah , cabe rawit merah hijau , belimbing wuluh potong , tomat hijau potong , bumbu ulek , bawang putih , bawang merah"
Roti kasur isi daging sapi,500 gram tepung terigu cakra--50 gram tepung maizena--1 sachet ragi instan--1 sachet susu bubuk--120 ml susu cair--4 sdm gula pasir--3 sdm butter cair--1 butir telur--Bahan olesan :--2 sdm susu cair--1 sdm butter cair--Bahan isian:--100 gram daging sapi cincang--1 buah wortel potong dadu kecil--1 buah bawang bombai iris tipis--2 siung bawang putih cincang--1/2 sdt garam--1 sdt gula--1 sdm saos tiram--3 sdm kecap manis--Secukupnya minyak--Secukupnya wijen buat taburan--,"1) Cairkan ragi instan bersama susu cair tunggu 10 menit hingga berbuih2, tambahkan gula pasir aduk hingga larut
2) Campurkan tepung terigu dan tepung maizena tambahkan susu bubuk masukan cairan ragi aduk rata
3) Mulai ulenin adonan tambahkan telur lalu butter cair setelah Kalis, tutup adonan tunggu 30 menit hingga mengembang
4) Selama menunggu buat bahan isian : tumis bawang putih & bombai lalu masukan daging giling & wortel masak hingga daging berubah warna masukan bumbu garam, gula, lada, kecap manis, saos tiram & bumbu penyedap, masak hingga matang angkat dan sisihkan
5) Setelah adonan mengembang dibagi menjadi bulatan2 kecil ditimbang 35gr
6) Isi adonan bulatkan kembali susun dalam loyang, olesi dengan susu cair beri taburan wijen lalu tunggu mengembang kembali selama 30 menit
7) Panaskan oven 180 derajat masukan adonan roti panggang selama 30 menit
8) Keluarkan roti lalu oles dengan butter lalu panggang kembali selama 15menit setelah matang angkat & dinginkan","tepung terigu cakra , tepung maizena , ragi instan , susu bubuk , susu cair , gula pasir , butter cair , telur , olesan , susu cair , butter cair , isian , daging sapi cincang , wortel potong dadu , bawang bombai tipis , bawang putih cincang , garam , gula , saos tiram , kecap manis , minyak , wijen"
Bihun goreng + bakso sapi,2 bihun--bakso--4 siung bawang putih--3 siung bawang merah--cabai merah (selera)--kecap--ladaku--1 sdt garam--1 sdt gula pasir--1/2 bungkus royco sapi--daun bawang--,"1) Ulek bumbu bawang merah dan bawang putih hingga lembut
2) Siapkan wadah untuk melembekan bihunnya, dan rebus air lalu tuang ke bihun
3) Tumis bumbu hingga harum, masukan cabai merah, daun bawang, dan bakso tumis sebentar
4) Masukan bihun yg sudah di siram air tadi, lalu oseng sbntr.
5) Tambahan kecap, garam, gula pasir, dan royco
6) Aduk sebentar lalu icip rasanya
7) Kalau sudah pas siapkan wadah untuk di sajikan
8) Happy cooking bundaa","bihun , bakso , bawang putih , bawang merah , cabai merah , kecap , ladaku , garam , gula pasir , royco sapi , daun bawang"
Broccoli cah daging sapi cincang,1 kuntum broccoli (besar)--100 gram daging sapi cincang--1 buah bawang bombai--2 siung bawang putih--2 buah cabe paprika hijau/ kuning--1 ruas jahe--1 sdm saos tiram--1 sdt garam--1 sdt gula--1 sdm minyak wijen--Secukupnya minyak--Sedikit air--,"1) Broccoli cuci & siangi, bawang bombai & paprika iris2, bawang putih cincang halus, jahe digeprek
2) Panaskan minyak tumis bawang putih & bombai lalu masukan daging giling & jahe setelah matang masukan paprika & broccoli nya
3) Beri bumbu garam, gula, saos tiram, minyak wijen & beri air tunggu hingga mendidih & matang
4) Koreksi rasanya jika sudah pas angkat dan siap dihidangkan","kuntum broccoli , daging sapi cincang , bawang bombai , bawang putih , cabe paprika hijau kuning , jahe , saos tiram , garam , gula , minyak wijen , minyak , air"
Daging Sapi Rica Rica (resep asli turun temurun),"600 gr daging sapi (sy pake has dalam)--2 batang sereh--6 lembar daun jeruk--2 buah tomat (uk besar)--2 buah kentang, goreng 3/4 matang. (boleh pake atau gak)--Bahan yg dihaluskan :--15 butir bawang merah--2 buah cabe merah besar--20 buah cabe rawit--3 butir kemiri--2 jempol jahe--1 jempol kunyit--secukupnya Garam, gula, lada--","1) Siapkan bahan, tomat potong2 kecil, sereh geprek, nah klo sy biasa untuk mempersingkat waktu, jahe,kunyit dan kemiri sy ulek halus, trus bawang merah, cabe merah dan rawit sy blender kasar.
2) Sambil mempersiapkan bumbu, daging sapinya direbus dulu sampai setengah empuk, atau bisa di presto kurleb 10 menit aja, setelah itu daging bisa dipotong2 sesuai selera, air rebusan daging dipake buat tumisan nanti ya.
3) Tumis semua bumbu (kecuali tomat), masak sampai harum.
4) Masukkan tomat, tumis lagi hingga bumbu setengah matang dan tomat layu.
5) Masukkan daging sapi, aduk-aduk hingga bumbu tercampur, lalu tambahkan garam, gula, lada.
6) Masukkan air rebusan daging sapi secukupnya, aduk lalu masak hingga bumbu dan air meresap.
7) Terakhir masukkan kentang, aduk rata, koreksi rasa jika kurang bisa ditambahkan garam, gula, dll, aduk2 sebentar.
8) Sajikan.","daging sapi pake has , serai , daun jeruk , tomat , kentang , goreng matang pake , dihaluskan , bawang merah , cabe merah , cabe rawit , kemiri , jempol jahe , jempol kunyit , garam , gula , lada"
Rawon Daging Sapi khas Jawa Timur,500 gr daging sapi yg ada lemaknya (tetelan 250 daging 250)--Bumbu Halus:--4 buah kluwek pecahkan ambil bagian dalamnya--10 bawang merah--2 bawang putih--3 kemiri--Seruas jahe--Seruas kunyit--1 sdt ketumbar--1 sdt lada--1/2 sdt jinten--Bumbu pelengkap:--2 lembar daunsalam--2 lembar daun jeruk--2 batang serai--Seruas lengkuas--Kayumanis--2 buah kapulaga--10 buah cabai rawit utuh--Gula--Garam--Bahan pelengkap:--Kecambah--Bawang goreng--Kerupuk--,"1) Sangrai ketumbar jinten duo bawang jahe kunyit.
2) Lalu haluskan bersamaan dgn kluwek.
3) Lalu tumis dgn sereh lengkuas salam daun jeruk kayumanis kapulaga.
4) Setelah harum tambahkan air sedikit masukan daging aduk2 lalu tambahkan air
5) Rebus daging sampai empuk.
6) Lalu masukan cabai rawit utuh dan taburan bawang goreng.
7) Sajikan dimangkuk dengan kecambah dan kerupuk. Hmmm yummyyy... selamat mencoba..","daging sapi lemaknya tetelan daging , bumbu halus , kluwek ambil dalamnya , bawang merah , bawang putih , kemiri , jahe , kunyit , ketumbar , lada , jinten , bumbu pelengkap , daunsalam , daun jeruk , serai , lengkuas , kayu manis , kapulaga , cabai rawit utuh , gula , garam , pelengkap , kecambah , bawang goreng , kerupuk"
Beef lasagna kukus,"4 lembar lasagna sheet, me : sanremo--1 sdt minyak goreng--1/2 sdt garam--Keju cheddar parut--Keju kraft quick melt parut--Oregano--sheet Air untuk merebus lasagna--Cup aluminium foil--Bahan saos keju 👇--500 ml susu full cream UHT, me : ultra milk--2 sdm tepung terigu--2 sdm butter / margarine--2 sdm keju cheedar--1 sdm keju quick melt, me : kraft--2 sdm keju oles, me : procis--1/2 sdt pala bubuk--Oregano (optional)--Bahan saos daging 👇--100 gr daging sapi giling--2 buah bawang bombay ukuran kecil--1 bungkus saos instan lafonte bolognise--1/2 sdt pala bubuk--1/2 sdt merica bubuk--","1) Rebus lasagna dengan ditambah minyak dan garam, sampai aldente
2) Buat saos keju nya : lelehkan butter atau margarine, masukkan tepuing terigu aduk cepat sampai larut, tuang susu, aduk jangan sampai menggumpal, tambahkan perkejuan nya, tambahkan merica dan pala bubuk, aduk sampai mengental, masukkan oregano aduk2 sebentar, matikan api, sisihkan.
3) Buat saos daging : tumis bawang bombay sampai layu, masukkan daging sapi giling aduk sampai berubah warna, masukkan saos instan, tambahkan merica dan pala bubuk, jika sudah meletup2 test rasa dan matikan
4) Panaskan dandang
5) Olesi cup aluminium foil dengan mentega, susun dengan urutan lasagna sheet - saos keju - saos daging, diulang sampai lasagna sheet ke empat dan terakhir setelah saos daging taburi keju cheedar parut lalu taburi keju kraft quick melt, taburi oregano.
6) Kukus sampai keju meleleh, amgkat, sajikan dengan saos sambal.
7) Enak banget
8) Selamat mencoba dan selamat ketagihan ya...hihihi","lasagna sheet , me sanremo , minyak goreng , garam , keju cheddar parut , keju kraft quick melt parut , oregano , sheet air merebus lasagna , aluminium foil , saos keju , susu full cream uht , me ultra milk , tepung terigu , butter margarine , keju cheedar , keju quick melt , me kraft , keju oles , me procis , pala , oregano , saos daging , daging sapi giling , bawang bombai , saos instan lafonte bolognise , pala , merica bubuk"
Gulai kepala sapi,"700 gr kepala sapi--3 sdm minyak goreng--3 btr  kapolaga--3 btr cengkih--4 cm kayu manis--5 cm lengkuas iris tipis dan memarkan--2 btg serai memarkan--4 lbr daun jeruk--1 liter  santan dati 3/4 btr kelapa--1 sdt air asam jawa--Secukupnya gula garam sesuai selera--Bumbu halus:--5 bh cabai merah--10 bh bawang merah--4 siung bawang putih--4 btr kemiri bulat, sangrai--2 cm jahe--2 cm kunyit, bakar/goreng--2 sdm ketumbar sangrai--1 sdt jinten sangrai--1/2 sdm merica sangrai--1/4 sdt adas--","1) Didihkan air, lalu rebus kepala sapi kurang lebih 10 menit, buang air rebusan lalu cuci daging. Rebus kembali hingga setengah empuk (saya presto 15 menit dari suara memdesis). Lalu potong potong ukuran sesuai selera. Masukan kembali kedalam air rebusan. Sisihkam
2) Tumis bumbu halus hingga benar bena matang, tuang kedalam rebusan daging bersama bumbu rempah.
3) Masak daging hingga empuk. Kalau air menyusut tambahkan lagi air panas secukupnya.
4) Masukan santan dan air asam jawa, masak hingga hingga mendidih dan santan berminyak. Koreksi rasa.
5) Siap dihidangkan bersama nasi, sambal rawit dan acar","kepala sapi , minyak goreng , kapolaga , cengkeh , kayu manis , lengkuas tipis memarkan , serai memarkan , daun jeruk , santan dati kelapa , asam jawa , gula garam , bumbu halus , cabai merah , bawang merah , bawang putih , kemiri bulat , sangrai , jahe , kunyit , bakar goreng , biji ketumbar , jinten , merica sangrai , adas"
Simple Spicy Beef Curry -keto #ketopad,200 gr daging sapi--300 gr lemak sapi--1 bungkus bumbu kari instant merk ‘Bamboe’--1 sdt himalayan salt--Secukupnya bawang goreng--Secukupnya irisan cabe rawit--1 sdm cabai bubuk--,"1) Rebus daging sapi hingga empuk jangan buang air rebusannya, sisihkan
2) Di panci berbeda rebus lemak sapi kemudian buang air rebusannya berkali-kali hingga benar2 sudah tak ada aroma bau sapi nya, tiriskan, cuci dengan air bersih, tiriskan kembali
3) Di panci habis merebus daging tadi beserta kaldunya, tambahkan secukupnya air, masukkan lemak sapi kedalamnya, tambahkan air bila perlu hingga merendam seluruh daging dan lemak
4) Masukkan bumbu kari instant, cabe bubuk, irisan cabe rawit, dan santan, lalu masukkan garam, aduk rata, cicipi rasanya, bila kurang asin, tambahkan lagi garamnya
5) Masak diatas api kecil sampai mendididih, biarkan mendidih hingga 5 menit, matikan api, taburi dengan bawang goreng","daging sapi , lemak sapi , bumbu kari instant merk ‘ bamboe ’ , himalayan salt , bawang goreng , irisan cabe rawit , cabai bubuk"
Beef Bowl (牛丼),"10 helai daging sapi slice ala shabu-shabu--1/2 buah bawang bombay--Secukupnya coca cola (ini eksperimen, kalau kecap asin ditambah gula biar gurih. Maka kalau coca cola ditambah garam agar gurih)--Secukupnya garam--Secukupnya wijen--Secukupnya penyedap rasa--1 buah cabe--Secukupnya daun bawang--","1) Siapkan bahan-bahan
2) Iris-iris bawang bombay.
3) Tumis bawang bombah dengan sekit minyak. Kemudian masukkan secukupnya coca cola. Dan rebus sampai bawang bombay layu. Masukkan garam dan penyedap rasa.
4) Masukkan daging dan irisan cabe, tumis sampai daging masak dengan warna kecoklatan.
5) Masukkan wijen secukupnya.
6) Siapkan nasi di dalam mangkuk dan tuangkan tumisan daging di atasnya. Tambahkan irisan daun bawang. Dan siap disantap.","daging sapi slice ala shabu shabu , bawang bombai , coca cola eksperimen , kecap asin ditambah gula biar gurih coca cola ditambah garam gurih , garam , wijen , penyedap , cabe , daun bawang"
Daging Sapi Lada Hitam,"500 gram daging sapi has dalam, iris tipis--1 buah paprika hijau, potong kotak--1 buah paprika merah, potong kotak--1 buah bawang bombay uk. besar, potong kotak--10 siung bawang putih, rajang halus--1 cm jahe, parut--4 sdm merica hitam bubuk (opsional. Bs dikurangi)--1 sdt maizena, larutkan dgn 2 sdm air--Secukupnya penyedap rasa dan gula pasir--5 sdm air--Minyak utk menumis--🐮 Bumbu marinasi:--3-4 sdm saus tiram--3 sdm kecap manis--1 sdm soy sauce--1 sdt minyak wijen--","1) Balur irisan daging sapi dgn bumbu marinasi. Diamkan selama 1 jam.
2) Tumis bawang putih dan jahe hingga harum. Masukkan daging sapi yg telah dimarinasi. Tumis merata. Tambahkan air. Tutup wajan dgn tutup panci selama kurang lebih 5 menit.
3) Buka tutup panci. Jika kurang kecap/tiram bisa ditambah sesuai selera ya. Tp saya tadi hanya menambahkan kecap saja sekitar 2 sdm. Aduk2 rata daging sapi. Tambahkan paprika, bombay, dan merica hitam. Aduk rata.
4) Tambahkan penyedap rasa dan gula. Aduk rata. Tambahkan larutan maizena, aduk rata hingga maizena larut dan tercampur merata. Cek rasa. Matikan api.
5) Siap disajikan. Selamat mencoba.","daging sapi has , tipis , paprika hijau , potong kotak , paprika merah , potong kotak , bawang bombai , potong kotak , bawang putih , rajang halus , jahe , parut , merica hitam bubuk bs dikurangi , maizena , larutkan dgn air , penyedap gula pasir , air , minyak utk menumis , bumbu marinasi , saus tiram , kecap manis , soy sauce , minyak wijen"
11. Asem asem kikil sapi pedas,1/4 kg kikil sapi (yg sudah direbus lalu potong dadu -+1cm)--2 buah wortel--1/4 kg baby buncis--2 lembar daun salam--2 cm lengkuas--5 siung bawang putih--3 siung bawang merah--1/2 siung bawang bombay--7 biji cabe rawit--2 biji cabe merah besar--2 biji cabe hijau besar--20 ml air asam jawa--5 sdm kecap manis--1 sachet penyedap rasa (me pakai masako sapi)--1 sachet lada bubuk--3 sdm saos raja rasa--1 buah tomat--500 ml air--secukupnya Gula--secukupnya Garam--secukupnya Minyak goreng--,"1) Cuci bersih kikil sapi lalu rebus hingga empuk, setelah empuk angkat dan tiriskan, potong bentuk dadu -+1cm
2) Kupas dan potong baby buncis dan wortel bentuk dadu -+1cm juga lalu cuci bersih
3) Iris bawang merah, bawang putih, bawang bombay dan cabai
4) Panaskan penggorengan dan tambahkan minyak
5) Tumis bawang merah, bawang putih, bawang bombay hingga harum setelah harum masukkan cabai, daun salam, lengkuas
6) Setelah itu masukkan wortel dan baby buncisnya tambahkan air agar mudah empuk
7) Lalu masukkan kecap manis, saos rajarasa merica bubuk, penyedap rasa, gula, garam dan asem jawa lalu koreksi rasa
8) Tunggu hingga semua bahan empuk dan bumbu sudah mulai meresap lalu tambahkan potongan tomat
9) Angkat dan siap disajikan","kikil sapi direbus potong dadu + , wortel , baby buncis , daun salam , lengkuas , bawang putih , bawang merah , bawang bombai , biji cabe rawit , biji cabe merah , biji cabe hijau , asam jawa , kecap manis , penyedap me masako sapi , lada , saos raja , tomat , air , gula , garam , minyak goreng"
Rendang Daging Sapi,"500 grm daging sapi, bersihkan potong2--2 btg Sereh, memarkan--1000 ml santan kental (3 btr kelapa)--1000 ml santan encer (perasan santan kental)--5 lbr daun jeruk purut--1 lbr daun kunyit, dihiris2--Bumbu Halus :--250 grm cabe merah--2 cm kunyit--4 siung bawang putih--4 cm lengkuas--10 btr bawang merah--1 cm jahe--Secukupnya garam dan gula--","1) Rebus santan cair, daun jeruk, Sereh, daun kunyit, dan bumbu halus, masak hingga mendidih.
2) Masukkan daging yg sudah d potong2, beri garam, gula, masak hingga santannya kental.
3) Kemudian masukkan santan kental, masak hingga hampir kering. Aduk2 hingga rendang kecoklatan dan berminyak.","daging sapi , bersihkan potong , serai , memarkan , santan kental kelapa , santan encer perasan santan kental , daun jeruk , daun kunyit , dihiris , bumbu halus , cabe merah , kunyit , bawang putih , lengkuas , bawang merah , jahe , garam gula"
Nasi Kebuli Daging Sapi (Magic Com),"4 cup beras (sy beras biasa)--1/4 kg daging sapi, potong dadu--500 ml air (sesuaikan dgn beras, nasi kebuli mawur)--Bumbu Halus :--4 siung bawang putih--6 siung bawang merah--2 ruas kunyit--1/2 sdt lada bubuk--1/2 sdt ketumbar bubuk--secukupnya garam--Bumbu Lain :--4 sdm bubuk kari--1 bungkus bumbu kari instan (indofood)--2 batang kayu manis--4 sdm minyak sayur--3 sdm margarin--","1) Rebus daging sapi hingga empuk, buang airnya.
2) Haluskan bawang merah & bawang putih. Tumis bersama dgn margarin, lada bubuk, ketumbar bubuk, kunyit bubuk, bumbu kari instant & bubuk kari. Aduk rata.
3) Tambahkan air, aduk rata & masak hingga mendidih.
4) Masukkan daging sapi, aduk lagi & masak hingga 1/2 matang. Matikan kompor.
5) Cuci bersih beras. Lalu masukkan daging sapi berserta kuahnya. Aduk rata. Nyalakan tombol cook. Biarkan hingga matang. Sajikan.
6) Ini nih bubuk kari","beras beras , daging sapi , potong dadu , air dgn beras , nasi kebuli mawur , bumbu halus , bawang putih , bawang merah , kunyit , lada , biji ketumbar , garam , bumbu , bubuk kari , bumbu kari instan indofood , kayu manis , minyak sayur , margarin"
Sop Daging Sapi (Weekend Special),1/4 daging sapi--2 Wortel--2 kentang--1 buah tomat--5 siung bawang merah (Iris)--2 siung bawang putih (iris and geprek)--1 batang saledri & Daun bawang--1/2 potong kayu manis--3 buah cengkeh--1/4 Biji pala (bubuk juga gpp)--Secukupnya lada putih--Secukupnya garam--Secukupnya kaldu sapi--Secukupnya gula--,"1) Bersihkan daging kemudian tiriskan, siapkan panci rebus anti lengket supaya pinggir panci ga hitam dan lengket terkena air rebusan daging. Kemudian panaskan air secukupnya selama 5 menit, setelah itu Masukan daging satu persatu ke dalam panci rebusan
2) Setelah semua daging masuk kemudian tambahkan sedikit bawang merah iris, bawang putih geprek, 3 buah cengkeh dan 1/4 biji pala kedalam panci rebusan tadi (ala saya supaya daging nya ada berasa sedikit rempah and air rebusan tidak bau), busa2 hasil rebusan di angkat. Rebus 10-15 menit
3) Sambil menunggu rebusan daging agak empuk, potong2 sesuai selera wortel dan kentang nya. Cuci bersih2 and rendam 1 menit dalam air yg ditaburi sedikit garam.
4) Tumis Sisa bawang merah, bawang putih, tomat,kayu manis, saledri daun bawang, lanjutkan Masukan kentang dan wortel ke dalam tumisan tadi. Diemkan 30 detik kemudian masukan air aqua(air matang) dan rebus kurang lebih 5 menit.
5) Kemudian masukkan rebusan daging tadi beserta air kaldu daging yg sudah di saring (ampas nya dibuang), tambahkan garam secukup nya, lada putih sesuai selera serta sedikit gula putih (efek gurih krna tidak pake mecin)
6) Tumis rebus bersamaan sampe empuk dan skali coba rasa apakah sudah pas untuk campuran nya.
7) Pindahkan ke dalam mangkok besar dan siap untuk di nikmati bersama Keluarga.","daging sapi , wortel , kentang , tomat , bawang merah , bawang putih and geprek , batang saledri & daun bawang , potong kayu manis , cengkeh , pala bubuk gpp , lada putih , garam , kaldu sapi , gula"
Sop daging/ buntut/ iga sapi spesial full rempah-rempah by mimi,"1 kg daging/ buntut / iga sapi--3 buah kentang--4 buah wortel--1 btg seledri--1 btg daun bawang--5 siung bawang merah (digeprek)--4 siung bawang putih (digeprek)--1 cm jahe (digeprek)--1 buah pala--2 buah bunga lawang--4 butir kapulaga--1 btg kayu manis--4 btg cengkeh--1 sendok teh lada (bubuk)--secukupnya Garam, Penyedap rasa--Bawang goreng--","1) Kupas dan cuci bersih semua bahan
2) Panas kan air hingga mendidih, kemudian masukkan daging / buntut/ iga sapi ke dlm air mendidih tersebut.
3) Tumis bawang merah & bawang putih yg sudah di geprek hingga harum. Angkat, kemudian masukkan ke dlm rebusan daging.
4) Masukkan juga bumbu2 lain, seperti jahe yg sudah digeprek, pala, bunga lawang, kapulaga, kayu manis, cengkeh, lada, penyedap rasa + garam. Masak hingga empuk sesuai selera.
5) Jk tingkat keempukan daging sudah sesuai keinginan, selanjutnya masukkan wortel & kentang dlm masakan daging.
6) Jk wortel & kentang sudah matang, masukkan irisan daun bawang & seledri dlm masakan, masak sebentar saja.
7) Koreksi rasa trlebih dahulu, jk telah sesuai silakan unt disajikan. Jgn lupa ditaburi bawang goreng.
8) Selamat memasaaaaakkk","daging buntut iga sapi , kentang , wortel , btg seledri , btg daun bawang , bawang merah digeprek , bawang putih digeprek , jahe digeprek , pala , bunga lawang , kapulaga , btg kayu manis , btg cengkeh , lada , garam , penyedap , bawang goreng"
Gulai tunjang (gulai kaki sapi),"1/4 kaki sapi--500 gr santan--Bumbu halus :--1 ruas lengkuas--1 ruas jahe--1 ruas kunyit--3 butir kemiri--5 siung bawang merah--1 siung bawang putih--1 ons cabe merah keriting--Secukupnya garam--Pelengkap :--2 lembar daun salam--1 lembar daun kunyit--2 buah asam kandis--1 batang serai, geprek--","1) Didihkan air masukkan tunjang/kaki sapi, beri garam. Didihkan kembali kecilkan api, masak hingga tunjang agak empuk. Angkat sisihkan.
2) Haluskan bumbu. Masukkan bumbu dalam air sisa rebusan tunjang, tambahkan santan dan pelengkap, didihkan. Setelah mendidih masukkan tunjang kedalam bumbu, masak hingga bumbu meresap dan tunjang empuk. Koreksi rasa. Jika sudah okey... angkat sajikan.
3) Sajikan... hmmmm sedapnya... gak cukup 1 potong nih...","kaki sapi , santan , bumbu halus , lengkuas , jahe , kunyit , kemiri , bawang merah , bawang putih , cabe merah keriting , garam , pelengkap , daun salam , daun kunyit , asam kandis , serai , geprek"
Empal daging sapi & paru goreng,1/2 kg daging sapi--1/2 kg paru sapi--1 buah kelapa santan ukuran besar--1 sdm ketumbar--5 butir kemiri--5 siung bawang merah--4 siung bawang putih--1 cm jahe--3 btg serai--4 lbr daun salam--1 bks kecil asam kandis--,"1) Cuci bersih daging & paru dicampur garam cucinya agar menghilangkan darah nya
2) Ulek bumbu halus kecuali serainya di geprek
3) Tuang santan kelapa encernya dulu aduk2
4) Masukkan bumbu halus.. Serai.. Daun salam & asam kandis
5) Sambil terus diaduk bumbu nya masukkan daging & paru sapi
6) Tuangkan lagi santan kental nya
7) Sambil diaduk agar tidak lengket dibawahnya
8) Masak daging & paru sapi sampai sat santan nya
9) Bila sudah sat santannya angkat daging & paru sapi ke wadah lain
10) Geprek2 daging & paru sapi
11) Bila sudah digeprek semuanya.. Simpan dikulkas
12) Tapi kalo mau langsung di goreng juga gapapa sih
13) Setelah digoreng taburkan bawang goreng diatasnya..","daging sapi , paru sapi , kelapa santan , ketumbar , kemiri , bawang merah , bawang putih , jahe , serai , daun salam , asam kandis"
Nasi Kebuli Sapi Magic com,3 cup beras *saya pakai beras perak--1/4 kg daging sapi pilih yang mudah empuk&potong dadu--3 sdm margarine--1 bks bumbu kare instan--3 ruas jari kayu manis--Secukupnya air *saya pakai air kaldu rebusan daging--3 sdm bubuk kari--Bumbu Halus:--4 siung bawang putih--6 butir bawang merah--1 ruas jari kunyit--1/2 sdt merica bubuk--1 sdt ketumbar bubuk--Pelengkap:--Telur dadar--Irisan timun--Kerupuk emping--Sambel--,"1) Cuci bersih daging kemudian rebus hingga mendidih buang air rebusan nya&bilas hingga bersih kemudian rebus kembali hingga daging empuk,sisihkan
2) Panaskan margarine tumis bumbu halus hingga harum
3) Tambahkan bubuk kari,kayu manis&bumbu kari instan aduk rata
4) Kemudian masukan daging beserta air rebusan nya
5) Masak hingga bumbu meresap ke daging
6) Campurkan tumisan daging dengan beras yang telah di cuci aduk rata kemudian tekan tombol cook magic com di tengah proses memasak aduk nasi supaya bumbu nya merata *untuk takaran air nya bisa di sesuaikan seperti kita memasak nasi biasa
7) Begini penampakan nasi setelah matang
8) Sajikan nasi kebuli dengan pelengkap
9) Nb:bila tidak punya bubuk kari bisa kita siap kan sendiri rempah pengganti blender hingga halus  2 butir pekak/bunga lawang,2 buah kapulaga ambil biji nya saja,5 butir cengkeh,1/2 sdt jintan,2 sdt kayu manis bubuk","beras beras perak , daging sapi pilih mudah empuk & potong dadu , margarine , bumbu kare instan , kayu manis , air air kaldu rebusan daging , bubuk kari , bumbu halus , bawang putih , bawang merah , kunyit , merica bubuk , biji ketumbar , pelengkap , telur dadar , irisan timun , kerupuk emping , sambel"
Kalio Hati Sapi Simple,"500 gr hati sapi--5 siung bawang merah--4 siung bawang putih--5 butir kemiri--3 cabe rawit atau sesuai selera--1 ruas jahe--1 ruas lengkuas--2 lembar daun salam--1 sdt lada bubuk--Secukupnya garam, gula dan kaldu jamur--","1) Cuci bersih hati sapi, buang air rebusan pertama. Ganti air lagi dan rebus hingga matang. Tiriskan. Setelah dingin, potong sesuai selera.
2) Blender semua bumbu kecuali daun salam. Tumis hingga harum, masukkan daun salam, tambahkan air.
3) Masukkan hati sapi, tambahkan air lagi. Tutup wajan hingga bumbu meresap dan air menyusut. Masukkan santan, lada bubuk, garam, gula dan sedikit kaldu jamur. Aduk rata. Masak hingga semua bumbu meresap dan kuah mengental. Angkat dan sajikan.","hati sapi , bawang merah , bawang putih , kemiri , cabe rawit , jahe , lengkuas , daun salam , lada , garam , gula kaldu jamur"
